Account,date,Net PnL,Size USD,Fee,Trade Count,sentiment_value,rolling_7d_Net PnL_mean,rolling_7d_Net PnL_std,rolling_7d_Size USD_mean,rolling_7d_Size USD_std,rolling_7d_Trade Count_mean,rolling_7d_Trade Count_std,next_day_pnl,target_profitable,target_volatility,pred_profitability,pred_volatility
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1772.35658672,1248337.12,197.03662328,330,60.0,1206.1225908857143,1743.122815320337,755133.5999999999,534909.3456523278,482.57142857142856,216.20118496657796,-4665.787157,0,3690.451262244092,0,3103.0095058817124
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4665.787157,96183.93,16.916102,338,65.0,422.0666615528574,2836.0740128573857,693400.8157142857,587772.4567304114,432.4285714285714,200.4768125767976,-0.267131,0,3325.631940509743,1,3927.060956359003
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,-0.267131,96167.16,0.267131,67,61.0,376.245310194286,2840.5763534994094,674723.7,606834.471418982,383.2857142857143,244.03532140909056,5149.368721,1,4909.567384720179,1,4505.463374495446
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5149.368721,101346.88,30.404024,83,56.0,1399.3644498171432,3113.481535391294,606194.3771428571,645058.2911819934,309.0,245.14893432360668,1212.8230773,1,2692.171640968515,1,3738.4739836730373
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,174.68774900000005,158123.95,34.129711,4,84.0,582.4334106666666,872.1842123117735,63353.100000000006,83324.75949768773,3.333333333333333,2.0816659994661326,15525.749777,1,8485.46212892992,0,2585.10295321104
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,15525.749777,4886973.24,1181.135135,797,18.0,4318.262502250001,7505.518827695083,1269258.135,2412769.464906177,201.75,396.83697324384144,10800.981383,1,7862.322156551817,1,6332.225728241718
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,10800.981383,7423746.26,2463.061921,339,39.0,5614.8062784,7117.21423536137,2500155.76,3455667.4006971405,229.2,349.10915198545,5222.465929,1,5157.533795331443,1,5753.311562796425
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5222.465929,2716221.67,720.081313,313,32.0,5549.416220166667,6367.844685285515,2536166.745,3092101.307143213,243.16666666666663,314.12126108664893,7661.64279,1,2796.57127065906,1,5671.766375957711
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,7661.64279,2657908.25,615.664567,863,37.0,5851.162873,5867.585725327922,2553558.3885714286,2823064.415883347,331.7142857142857,370.28579695766274,2519.9781820000003,1,2571.955764364369,1,4254.886592403718
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2519.9781820000003,693974.34,118.034405,353,39.0,6212.759460714286,5513.402247497428,2648361.722857143,2733944.6403801087,381.4285714285714,341.3404249635336,-20415.196179,0,14948.622146103122,0,11052.648047641567
